Authors	Year	Title	Journal Name	Vol	Issue	Pages	Reference Type	Research notes	doi 	IFAS Unit
"Lowerre-Barbieri, S. K., Burnsed, S. L. W. and Bickford, J. W."	2016	"Assessing reproductive behavior important to fisheries management: a case study with red drum, Sciaenops ocellatus"	Ecological Applications	26	4	979-995	Journal Article		10.1890/15-0497	
"Lundy, L. K."	2016	Communicating Compassion:  A narrative analysis of compassion international’s blogger engagement program	Public Relations Journal	10	1	1-25	Journal Article			Ag Ed
"Lusk, J. L., Crespi, J. M., Mcfadden, B. R., Cherry, J. B. C., Martin, L. and Bruce, A."	2016	Neural antecedents of a random utility model	Journal of Economic Behavior & Organization	132		93-103	Journal Article		10.1016/j.jebo.2016.09.018	FRE
"Lusk, M. G. and Toor, G. S."	2016	Dissolved organic nitrogen in urban streams: biodegradability and molecular composition studies	Water Research	96		225-235	Journal Article		 http://dx.doi.org/10.1016/j.watres.2016.03.060	
"Lv, X. Y., Gao, B., Sun, Y. Y., Wu, J. C., Jiang, B. L. and Shi, X. Q."	2016	Effects of grain size and structural heterogeneity on the transport and retention of nano-TiO2 in saturated porous media	Science of the Total Environment	563		987-995	Journal Article		10.1016/j.scitotenv.2015.12.128	ABE
"Lynch, M., Mulvaney, M., Hodges, S., Thompson, T. and Thomason, W."	2016	"Decomposition, nitrogen and carbon mineralization from food and cover crop residues in the central plateau of Haiti"	SpringerPlus	5	1	973-981	Journal Article		10.1186/s40064-016-2651-1	West FL REC
"Lyrene, P. M."	2016	Phenotype and Fertility of Intersectional Hybrids between Tetraploid Highbush Blueberry and Colchicine-treated Vaccinium stamineum	HortScience	51	1	15-22	Journal Article			
"Ma, Z., Kim, D., Adesogan, A. T., Ko, S., Galvao, K. and Jeong, K. C."	2016	Chitosan Microparticles Exert Broad-Spectrum Antimicrobial Activity against Antibiotic-Resistant Micro-organisms without Increasing Resistance	ACS Appl Mater Interfaces	8	17	10700-9	Journal Article		10.1021/acsami.6b00894	Animal Sci
"Machnicka, M. A., Dunin-Horkawicz, S., De Crecy-Lagard, V. and Bujnicki, J. M."	2016	tRNAmodpred: A computational method for predicting posttranscriptional modifications in tRNAs	Methods	107		34-41	Journal Article		10.1016/j.ymeth.2016.03.013	
"Machtinger, E. T., Leppla, N. C. and Hogsette, J. A."	2016	"House and Stable Fly Seasonal Abundance, Larval Development Substrates, and Natural Parasitism on Small Equine Farms in Florida."	Neotropical Entomology	45	4	433-440	Journal Article			Ent/Nem
"Machtinger, E. W., Eni; Geden, Cj; Kaufman, Pe"	2016	House fly (Musca domestica)(Diptera: Muscidae) mortality after exposure to commercial fungal formulations in a sugar bait	Biocontrol Science and Technology	26	10	1444-1450	Journal Article			Ent/Nem
"Madhavan, A., Lagorio, L., Crary, M., Dahl, W. and Carnaby, G."	2016	Prevalence of and Risk Factors for Dysphagia in the Community Dwelling Elderly: A Systematic Review	J Nutr Health Aging	20	8	806-815	Journal Article		10.1007/s12603-016-0712-3	Food Sci & Nutr
"Maertens De Noordhout, C., Devleesschauwer, B., Maertens De Noordhout, A., Blocher, J., Haagsma, J. A., Havelaar, A. H. and Speybroeck, N."	2016	Comorbidities and factors associated with central nervous system infections and death in non-perinatal listeriosis: a clinical case series	BMC Infect Dis	16		256	Journal Article		10.1186/s12879-016-1602-3	Animal Sci
"Mangen, M. J. J., Havelaar, A. H., Haagsma, J. A. and Kretzschmar, M. E. E."	2016	The burden of Campylobacter-associated disease in six European countries	Microbial Risk Analysis	2–3		48-52	Journal Article		http://dx.doi.org/10.1016/j.mran.2016.04.001	Animal Sci
"Manzanilla-Pech, C. I. V., Veerkamp, R. F., Tempelman, R. J., Van Pelt, M. L., Weigel, K. A., Vandehaar, M., Lawlor, T. J., Spurlock, D. M., Armentano, L. E., Staples, C. R., Hanigan, M. and De Haas, Y."	2016	Genetic parameters between feed-intake-related traits and conformation in 2 separate dairy populations-the Netherlands and United States	Journal of Dairy Science	99	1	443-457	Journal Article		10.3168/jds.2015-9727	Animal Sci
"Marble, S. C., Chandler, A. and Archer, M."	2016	"Impact of Application Rate, Timing, and Indaziflam Formulation on Early Postemergence Control of Oxalis stricta"	WeedTech	30	3	701-707	Journal Article			
"Marble, S. C., Fulcher, A. and Karel, R."	2016	Developing an Asynchronous Online Tennessee Master Nursery Producer Program	HortTech	26	5	575-583	Journal Article			
"Marble, S. C., Prior, S. A., Runion, G. B., Torbert, H. A., Gilliam, C. H., Fain, G. B., Sibley, J. L. and Knight, T. R."	2016	Species and media effects on soil carbon dynamics in the landscape	Scientific Reports	6		Article 25210	Journal Article		10.1038/srep25210	
"Marchi, E. C. S., Zotarelli, L., Delgado, J. A., Rowland, D. L. and Marchi, G."	2016	Use of the Nitrogen Index to assess nitrate leaching and water drainage from plastic-mulched horticultural cropping systems of Florida	International Soil and Water Conservation Research	4	4	237-244	Journal Article		http://dx.doi.org/10.1016/j.iswcr.2016.12.001	
"Marques, R. S., Cooke, R. F., Rodrigues, M. C., Moriel, P. and Bohnert, D. W."	2016	Impacts of cow body condition score during gestation on weaning performance of the offspring	Livestock Science	191		174-178	Journal Article		10.1016/j.livsci.2016.08.007	
"Martin, S. M. and Lorenzen, K."	2016	Livelihood Diversification in Rural Laos	World Development	83		231-243	Journal Article		10.1016/j.worlddev.2016.01.018	
"Martinez, N., Sinedino, L. D. P., Bisinotto, R. S., Daetz, R., Lopera, C., Risco, C. A., Galvao, K. N., Thatcher, W. W. and Santos, J. E. P."	2016	"Effects of oral calcium supplementation on mineral and acid-base status, energy metabolites, and health of postpartum dairy cows"	Journal of Dairy Science	99	10	8397-8416	Journal Article		10.3168/jds.2015-10527	Animal Sci
"Martinez, N., Sinedino, L. D. P., Bisinotto, R. S., Daetz, R., Risco, C. A., Galvao, K. N., Thatcher, W. W. and Santos, J. E. P."	2016	Effects of oral calcium supplementation on productive and reproductive performance in Holstein cows	Journal of Dairy Science	99	10	8417-8430	Journal Article		10.3168/jds.2015-10529	Animal Sci
"Martini, X., Pelz-Stelinski, K. S. and Stelinski, L. L."	2016	Factors Affecting the Overwintering Abundance of the Asian Citrus Psyllid (Hemiptera: Liviidae) in Florida Citrus (Sapindales: Rutaceae) Orchards	Florida Entomologist	99	2	178-186	Journal Article		10.1653/024.099.0204	Citrus REC
"Martini, X., Willett, D. S., Kuhns, E. H. and Stelinski, L. L."	2016	Disruption of Vector Host Preference with Plant Volatiles May Reduce Spread of Insect-Transmitted Plant Pathogens	Journal of Chemical Ecology	42	5	357-367	Journal Article	yes	10.1007/s10886-016-0695-x	Citrus REC
"Martins, P. G. M. A., Moriel, P., Vendramini, J. M. B. and Arthington, J. D."	2016	Evaluation of 2 sugarcane molasses feeding strategies on measures of growth and reproductive performance of replacement beef heifers	Professional Animal Scientist	32	3	302-308	Journal Article		10.15232/pas.2016-01514	
"Marvasi, M., Moraes, M. H. D., Salas-Gonzalez, I., Porwollik, S., Farias, M., Mcclelland, M. and Teplitski, M."	2016	Involvement of the Rcs regulon in the persistence of Salmonella Typhimurium in tomatoes	Environmental Microbiology Reports	8	5	928-935	Journal Article	yes	10.1111/1758-2229.12457	
"Masi, M., Cala, A., Tabanca, N., Cimmino, A., Green, I. R., Bloomquist, J. R., Van Otterlo, W., Macias, F. A. and Evidente, A."	2016	"Alkaloids with activity against the zika virus vector Aedes aegypti (L.) - Crinsarnine and Sarniensinol, two new crinine and mesembrine type alkaloids isolated from the South African Nerine sarniensis."	Molecules	21	11	1432	Journal Article		10.3390/ molecules 21111432	Ent/Nem
"Masi, M., Van Der Westhuyzen, A. E., Tabanca, N., Evidente, M., Cimmino, A., Green, I. R., Bernier, U. R., Becnel, J. J., Bloomquist, J. R., Van Otterlo, W. and Evidente, A."	2016	"Sarniensine, a mesembrine-type alkaloid isolated from Nerine sarniensis a native South African Amaryllidaceae with larvicidal and adulticidal activities against Aedes aegypti."	Fitoterapia	116		34-38	Journal Article			Ent/Nem
"Mateescu, R. G., Oltenacu, P. A., Garmyn, A. J., Mafi, G. G. and Vanoverbeke, D. L."	2016	Strategies to predict and improve eating quality of cooked beef using carcass and meat composition traits in Angus cattle	Journal of Animal Science	94	5	2160-2171	Journal Article		10.2527/jas2015-0216	Animal Sci
"Matheus, A., Franco, W., Hsu, W.-Y., Marshall, M. R. and Simonne, A. H."	2016	A Historical Look at the Prevalence of Foodborne Disease Outbreaks Associated with Asian Foods in the United States	Food Protection Trends	36	2	108-115	Journal Article			FYCS
"Mazzotti, F. J., Cherkiss, M. S., Parry, M., Beauchamp, J., Rochford, M., Smith, B., Hart, K. and Brandt, L. A."	2016	Large reptiles and cold temperatures: Do extreme cold spells set distributional limits for tropical reptiles in Florida?	Ecosphere	7	8	e01439	Journal Article		10.1002/ecs2.1439	Ft Lauderdale REC
"Mccallum, S., Graham, J., Jorgensen, L., Rowland, L. J., Bassil, N. V., Hancock, J. F., Wheeler, E. J., Vining, K., Poland, J. A. and Olmstead, J. W."	2016	Construction of a SNP and SSR linkage map in autotetraploid blueberry using genotyping by sequencing	Molecular Breeding	36	4	Article 41	Journal Article			
"Mccleery, R. A. and Zweig, C. L."	2016	Leveraging limited information to understand ecological relationships of endangered Florida salt marsh vole.	Journal of Mammalogy	97	4	1249-1255	Journal Article		http://dx.doi.org/10.1093/jmammal/gyw084	
"Mccray, J. M., And G. Powell"	2016	Sugarcane yield response to potassium on a Florida Histosol.	Journal of the American Society of Sugarcane Technologists	36		9-18	Journal Article			Everglades REC
"Mccullough, E. M., Cw; Emlen, Dj"	2016	Why Sexually Selected Weapons Are Not Ornaments	Trends in Ecology & Evolution	31	10	742-751	Journal Article		10.1016/j.tree.2016.07.004	Ent/Nem
"Mcfadden, B. R."	2016	Examining the Gap between Science and Public Opinion about Genetically Modified Food and Global Warming	Plos One	11	11	14	Journal Article		10.1371/journal.pone.0166140	FRE
"Mcfadden, B. R."	2017	The Unknowns and Possible Implications of Mandatory Labeling	Trends in Biotechnology	35	1	1-3	Journal Article		10.1016/j.tibtech.2016.09.009	FRE
"Mcfadden, B. R. and Lusk, J. L."	2016	"What consumers don't know about genetically modified food, and how that affects beliefs"	Faseb Journal	30	9	3091-3096	Journal Article		10.1096/fj.201600598	FRE
"Mcfadden, B. R. and Stefanou, S."	2016	Another perspective on understanding food democracy	Choices	31	1	6p	Journal Article			FRE
"Mcmillan, L. J., Hepowit, N. L. and Maupin-Furlow, J. A."	2016	Archaeal Inorganic Pyrophosphatase Displays Robust Activity under High-Salt Conditions and in Organic Solvents	Applied and Environmental Microbiology	82	2	538-548	Journal Article		10.1128/aem.03055-15	
"Mcneill, C., Allan, S., Koehler, P. G., Pereira, R. M. and Weeks, E."	2016	Vision in the common bed bug Cimex lectularius L. (Hemiptera: Cimicidae): eye morphology and spectral sensitivity	Med. Vet. Entomol.	30		426-434	Journal Article			Ent/Nem
"Mcneill, C. A., Baldwin, R., Pereira, R. M., Harlow, E., Roberts, T. G. and Koehler, P. G."	2016	"Development and Implementation of a Bed Bug IPM Enrichment Curriculum, Part I"	American Entomologist	62	2	78-82	Journal Article		10.1093/ae/tmv066	Ag Ed
"Mcneill, C. A., Baldwin, R., Pereira, R. M., Harlow, E., Roberts, T. G. and Koehler, P. G."	2016	"Development and Implementation of a Bed Bug IPM Enrichment Curriculum, Part II"	American Entomologist	62	4	214-217	Journal Article		10.1093/ae/tmw076	Ag Ed
"Mcneill, C. A., Pereira, R. M., Koehler, P. G., Mcneill, S. A. and Baldwin, R. W."	2016	Behavioral responses of nymph and adult Cimex lectularius (Hemiptera: Cimicidae) to colored harborages	J. Med. Entomol.	53		760–769	Journal Article	Recommend: delete; Reason: Reported in 2015.		Ent/Nem
"Meador, D. P., Fisher, P. R., Guy, C. L., Harmon, P. F., Peres, N. A. and Teplitski, M."	2016	Use of Dehydrated Agar to Estimate Microbial Water Quality for Horticulture Irrigation	Journal of Environmental Quality	45	4	1445-1451	Journal Article		10.2134/jeq2015.03.0130	Env Hort
"Meador, D. P. G., Fisher, P. R., Guy, C. L., Harmon, P. E., Peres, N. A. and Teplitski, M."	2016	Using a dehydrated agar to estimate microbial water quality for horticulture irrigation	Journal of Environmental Quality	45		1445-1451	Journal Article			
"Meagher, R. L., Jr., Nuessly, G. S., Nagoshi, R. N. and Hay-Roe, M. M."	2016	Parasitoids attacking fall armyworm (Lepidoptera: Noctuidae) in sweet corn habitats	Biological Control	95		66-72	Journal Article		10.1016/j.biocontrol.2016.01.006	Everglades REC
"Mechtensimer, S. and Toor, G. S."	2016	"Fate, mass balance, and transport of phosphorus in the septic system drainfields"	Chemosphere	159		153-158	Journal Article		10.1016/j.chemosphere.2016.05.084	
"Mehta, S., Mackunis, W. and Burks, T."	2016	Robust Visual Servo Control in the Presence of Fruit Motion for Robotic Citrus Harvesting	Computers and Electronics in Agriculture	123		362-375	Journal Article			ABE
"Meliyo, J. L., Kashenge-Killenga, S., Victor, K. M., Mfupe, B., Hiza, S., Kihupi, A. L., Boman, B. J. and Dick, W."	2016	"Evaluation of Salt Affected Soils for Rice (Oryza Sativa) Production in Ndungu Irrigation Scheme Same District, Tanzania"	Sustainable Agriculture Research	6	1	24-38	Journal Article		http://dx.doi.org/10.5539/sar.v6n1p24	
"Meng, K., Hou, Y., Huber, D. J., Dong, X., Ban, Q., Chang, X., Zhang, T. and Rao, J."	2016	"Molecular Cloning, Structural Characterization, and Ripening-Related Expression of Lipoxygenase Genes from Three Persimmon Cultivars Differing in Postharvest Ripening Rate"	Plant Molecular Biology Reporter	34	4	854-868	Journal Article			
"Mercadante, V. R. G., Fontes, P. L. P., Ciriaco, F. M., Henry, D. D., Moriel, P., Ealy, A. D., Johnson, S. E., Dilorenzo, N. and Lamb, G. C."	2016	"Effects of recombinant bovine somatotropin administration at breeding on cow, conceptus, and subsequent offspring performance of beef cattle"	Journal of Animal Science	94	5	2128-2138	Journal Article		10.2527/jas2015-0217	
"Merrill, H. R., Grunwald, S. and Bliznyuk, N."	2016	Semiparametric regression models for spatial prediction and uncertainty quantification of soil attributes	Stochastic Environmental Research and Risk Assessment			1-13	Journal Article	ABE and SWS in byline	doi:10.1007/s00477-016-1337-0	ABE
"Messiah, S. E., Lebron, C., Moises, R., Sunil Mathew, M., Sardinas, K., Chang, C., Palenzuela, J., Walsh, J., Shelnutt, K. P., Spector, R., Altare, F. and Natale, R."	2016	Healthy caregivers-healthy children (HC2) phase 2: Integrating culturally sensitive childhood obesity prevention strategies into childcare center policies	Contemp Clin Trials	53		60-67	Journal Article		10.1016/j.cct.2016.12.011	FYCS
"Messina, W. A., Stefanou, S. E., Royce and S., F."	2016	"The United States and Cuba: As diplomatic relations warm, do trade relations?"	Choices	31	4	8	Journal Article			FRE
"Meyer, J. L., Rodgers, J. M., Dillard, B. A., Paul, V. J. and Teplitski, M."	2016	Epimicrobiota Associated with the Decay and Recovery of Orbicella Corals Exhibiting Dark Spot Syndrome	Frontiers in Microbiology	7	Article 893	9	Journal Article	yes	10.3389/fmicb.2016.00893	
"Meyers, P. J. P., T. H. Q.; Walden, K. K. O.; Schieferecke, A. J.; Feder, J. L.; Hahn, D. A.; Robertson, H. M.; Berlocher, S. H.; Ragland, G. J."	2016	Divergence of the diapause transcriptome in apple maggot flies: winter regulation and post-winter transcriptional repression	Journal of Experimental Biology	219	17	2613-2622	Journal Article		10.1242/jeb.140566	Ent/Nem
"Mhina, G. J., Leppla, N. C., Thomas, M. H. and Solís, D."	2016	Cost effectiveness of biological control of invasive mole crickets in Florida pastures.	Biological Control	100		108-115.	Journal Article		http://dx.doi.org/10.1016/j.biocontrol.2016.05.017	Ent/Nem
"Miller, C. M., Gc; Moore, Aj"	2016	"The tale of the shrinking weapon: seasonal changes in nutrition affect weapon size and sexual dimorphism, but not contemporary evolution"	Journal of Evolutionary Biology	29	11	2266-2275	Journal Article		10.1111/jeb.12954	Ent/Nem
"Miller, G., Kropp, J., Gupta, S., Grogan, K. and Mathews, A."	2016	Do Elementary Students Substitute Ice Cream and Baked Goods for Healthier National School Lunch Program Meal Items?	Applied Economics Perspectives and Policy	38		1-26	Journal Article		https://doi.org/10.1093/aepp/ppw011	Food Sci & Nutr
"Miller, G. F., Gupta, S., Kropp, J. D., Grogan, K. A. and Mathews, A."	2016	The effects of pre-ordering and behavioral nudges on National School Lunch Program participants' food item selection	Journal of Economic Psychology	55		4-16	Journal Article		10.1016/j.joep.2016.02.010	FRE
"Miller-Cushon, E. and Devries, T."	2016	Effect of social housing on the development of feeding behavior and social feeding preferences of dairy calves	Journal of dairy science	99	2	1406-1417	Journal Article			Animal Sci
"Million, J. and Yeager, T."	2016	A Simple Collection System for Routine Leaching Fraction Testing of Micro-Irrigated Container Crops	Southern Nursery Association Research Conference	61		171-173	Conference Paper			Env Hort
"Mimura, M., Zallot, R., Niehaus, T., Hasnain, G., Gidda, S., Nguyen, T., Anderson, E., Mullen, R., Brown, G., Yakunin, A., De Crecy-Lagard, V., Gregory, J., Mccarty, D. and Hanson, A."	2016	Arabidopsis TH2 Encodes the Orphan Enzyme Thiamin Monophosphate Phosphatase	Plant Cell	28	10	2683-2696	Journal Article		10.1105/tpc.16.00600	Food Sci & Nutr
"Minteer, C. R., Tipping, P. W., Knowles, B. K., Valmonte, R. J., Foley, J. R. and Gettys, L. A."	2016	"Utilization of an introduced weed biological control agent, Megamelus scutellaris (Hemiptera: Delphacidae), by a native parasitoid"	Florida Entomologist	99	3	576-577	Journal Article			Ft Lauderdale REC
"Mintzer, V. J., Lorenzen, K., Frazer, T. K., Da Silva, V. M. F. and Martin, A. R."	2016	Seasonal movements of river dolphins (Inia geoffrensis) in a protected Amazonian floodplain	Marine Mammal Science	32	2	664-681	Journal Article		10.1111/mms.12298	
"Mir, R. A., Weppelmann, T. A., Elzo, M., Ahn, S., Driver, J. D. and Jeong, K. C."	2016	Colonization of Beef Cattle by Shiga Toxin-Producing Escherichia coli during the First Year of Life: A Cohort Study	PLoS One	11	2	e0148518	Journal Article		10.1371/journal.pone.0148518	Animal Sci
"Mir, R. A., Weppelmann, T. A., Johnson, J. A., Archer, D., Morris, J. G. and Jeong, K. C."	2016	Identification and Characterization of Cefotaxime Resistant Bacteria in Beef Cattle	PLoS One	11	9	e0163279	Journal Article		10.1371/journal.pone.0163279	Animal Sci
"Mislan K.A.S., H., J.M., White, E.P. "	2016	Elevating the status of code in ecology.	Trends in Ecology and Evolution	31		4-7	Journal Article		1 0.1016/j.tree.2015.11.006 	
"Misund, B. and Asche, F."	2016	Hedging efficiency of Atlantic salmon futures	Aquaculture Economics & Management	20	4	368-381	Journal Article		10.1080/13657305.2016.1212123	
"Mollov, D., Tahir, M. N., Wei, C., Kaye, C., Lockhart, B., Comstock, J. C. and Rott, P."	2016	First report of Sugarcane mosaic virus infecting Columbus Grass (Sorghum almum) in the United States	Plant Disease	100	7	1510	Journal Article			Everglades REC
"Monaghan, P., Hu, S. C., Hansen, G., Ott, E., Nealis, C. and Morera, M."	2016	Balancing the Ecological Function of Residential Stormwater Ponds with Homeowner Landscaping Practices	Environmental Management	58	5	843-856	Journal Article		10.1007/s00267-016-0752-9	Ag Ed
"Monari-Delucia, A., Alava, E., Hersom, M., Thrift, T. and Yelich, J."	2016	"Deferred rate of gain effects on growth, body composition, and concomitant blood metabolites in yearling Angus and Brangus heifers"	The Professional Animal Scientist	32	5	647-657	Journal Article			Animal Sci
"Monroe, M. C., Ballard, H. L., Oxarart, A., Sturtevant, V. E., Jakes, P. J. and Evans, E. R."	2016	"Agencies, educators, communities and wildfire: partnerships to enhance environmental education for youth"	Environmental Education Research	22	8	1098-1114	Journal Article		10.1080/13504622.2015.1057555	
"Monroe, M. C., Hall, S. and Li, C. J."	2016	Can climate change enhance biology lessons? A quasi-experiment.	Applied Environmental Education and Communication	15	2	1265-137	Journal Article			
"Monsivais-Huertero, A., Judge, J., Steele-Dunne, S. and Liu, P. W."	2016	Impact of Bias Correction Methods on Estimation of Soil Moisture When Assimilating Active and Passive Microwave Observations	Ieee Transactions on Geoscience and Remote Sensing	54	1	262-278	Journal Article		10.1109/tgrs.2015.2455037	ABE
"Monteiro, A., Guo, J.-R., Weng, X.-S., Ahmed, B., Hayen, M., Dahl, G., Bernard, J. and Tao, S."	2016	Effect of maternal heat stress during the dry period on growth and metabolism of calves	Journal of dairy science	99	5	3896-3907	Journal Article			Animal Sci
"Monteiro, A., Tao, S., Thompson, I. and Dahl, G."	2016	In utero heat stress decreases calf survival and performance through the first lactation	Journal of Dairy Science	99	10	8443-8450	Journal Article			Animal Sci
"Montemayor, C. O., Avery, P. B., Cave, R. D."	2016	Infection and mortality of Microtheca ochroloma (Coleoptera: Chrysomelidae) by Isaria fumosorosea (Hypocreales: Cordycipitaceae) under laboratory conditions	Biocontrol Science and Technology	26	5	12	Journal Article			
"Montenegro, J., Barrantes, E. and Dilorenzo, N."	2016	Methane emissions by beef cattle consuming hay of varying quality in the dry forest ecosystem of Costa Rica	Livestock Science	193		45-50	Journal Article		10.1016/j.livsci.2016.09.008	
"Montone, V. O. G., Fraisse, C. W., Peres, N. A., Sentelhas, P. C., Gleason, M., Ellis, M. and Schnabel, G."	2016	Evaluation of leaf wetness duration models for operational use in disease-warning systems in four U.S. states	International Journal of Biometeorology	60	11	1761-1774	Journal Article			
"Moore, J. F., Wells, C. P. , Van Vuren, D. H. And Oli, M. K."	2016	Who pays? Intra- vs. inter- generational costs of reproduction.	Ecosphere	7	2	e01236	Journal Article			
"Moore, K. N., Swisher, M. E., Rodriguez, J. C., Blevins, M., Hogan, M., Hunter, L., Kelly-Begazo, C., Komar, S., Mills-Wasniak, S. and Redhage, D."	2016	Principles guiding practice: A case study analysis of the principles of sustainable agriculture for diverse farms	Journal of Agriculture Food Systems and Community Development	6	3	61-89	Journal Article		10.5304/jafscd.2016.063.008	FYCS
"Moreira, C. M., Koppar, A., Pullammanappallil, P. and Welt, B."	2016	Steam Treatment of Waste Polylactic acid (PLA) based products for lactic acid recovery	"THE FOURTEEN LACCEI INTERNATIONAL MULTI-CONFERENCE FOR ENGINEERING, EDUCATION AND TECHNOLOGY"			"Paper #354, 10 pp"	Conference Proceedings		http://dx.doi.org/10.18687/LACCEI2016.1.1.354	Custom 8
"Morgan, K. T., Rouse, R. E. and Ebel, R. C."	2016	Foliar Applications of Essential Nutrients on Growth and Yield of ‘Valencia’Sweet Orange Infected with Huanglongbing	HortScience	51	12	1482-1493	Journal Article			
"Morota, G., Beissinger, T. M. and Penagaricano, F."	2016	MeSH-Informed Enrichment Analysis and MeSH-Guided Semantic Similarity Among Functional Terms and Gene Products in Chicken	G3-Genes Genomes Genetics	6	8	2447-2453	Journal Article		10.1534/g3.116.031096/-/DC1	Animal Sci
"Morris, K. A., Langston, D. B., Dutta, B., Davis, R. F., Timper, P., Noe, J. P. and Dickson, D. W."	2016	Evidence for a Disease Complex Between Pythium aphanidermatum and Root-knot Nematodes in Cucumber.	Plant Health Progress	17		200-201	Journal Article			Ent/Nem
"Morrison, E., Newman, S., Bae, H. S., He, Z., Zhou, J., Reddy, K. R. and Ogram, A."	2016	Microbial genetic and enzymatic responses to an anthropogenic phosphorus gradient within a subtropical peatland	Geoderma	268		119-127	Journal Article	yes	10.1016/j.geoderma.2016.01.008	SoilWater
"Mortensen, A. N. and Ellis, J. D."	2016	"Managed European-derived honey bee, Apis mellifera sspp, colonies reduce African-matriline honey bee, A.m. scutellata, drones at regional mating congregations."	PLoS ONE	11	8	0161331	Journal Article		10.1371/journal.pone.0161331	Ent/Nem
"Mortensen, A. N., Schmehl, D. R., Allsopp, M., Bustamante, T. A., Kimmel, C. B., Dykes, M. E. and Ellis, J. D."	2016	Differences in Varroa destructor infestation rates of two indigenous subspecies of Apis mellifera in the Republic of South Africa.	Experimental and Applied Acarology	68	4	509-514	Journal Article		10.1007/s10493-015-9999-8.	Ent/Nem
"Morueta, R. T., Lopez, P. M., Gomez, A. H. and Harris, V. W."	2016	Exploring social and cognitive presences in communities of inquiry to perform higher cognitive tasks	Internet and Higher Education	31		122-131	Journal Article		10.1016/j.iheduc.2016.07.004	FYCS
"Mosa, A., El-Banna, M. F. and Gao, B."	2016	Biochar filters reduced the toxic effects of nickel on tomato (Lycopersicon esculentum L.) grown in nutrient film technique hydroponic system	Chemosphere	149		254-262	Journal Article		10.1016/j.chemosphere.2016.01.104	ABE
"Mosa, A., El-Ghamry, A., Truby, P., Omar, M., Gao, B., Elnaggar, A. and Li, Y. C."	2016	Chemo-mechanical modification of cottonwood for Pb2+ removal from aqueous solutions: Sorption mechanisms and potential application as biofilter in drip-irrigation	Chemosphere	161		1-9	Journal Article	"[ABE, TREC, SWS in byline]"	10.1016/j.chemosphere.2016.06.101	ABE
"Mosquera, D., Blake, J. G., Romo, D., Swing, K."	2016	Ocelot (Leopardus pardalis) density in eastern Ecuador based on capture-recapture analyses of camera-trap data.	Neotropical Biodiversity	2	1	51-58	Journal Article		10.1080/23766808.2016.1168593  	
"Moss, C. B."	2016	Explaining changes in farmland prices: Another grail quest.	Farm Policy Journal	13	2	25-33	Journal Article			FRE
"Moss, C. B., Mbaye, S. and Oehmke, J. F."	2016	Information Measures of Wages and Employment: Application to Senegal	Applied Mathematics	7	03	177	Journal Article			FRE
"Moss, C. B., Oehmke, J. F., Lyambabaje, A. and Schmitz, A."	2016	Distribution of Budget Shares for Food: An Application of Quantile Regression to Food Security 1	Econometrics	4	2	22	Journal Article			FRE
"Moulton, M. P. and Cropper, W. P."	2016	Propagule size and patterns of success in early introductions of Chukar Partridges (Alectoris chukar) to Nevada	Evolutionary Ecology Research	17	5	713-720	Journal Article			
"Mpeketula-Soko, M., Williams, S., Adesogan, A. and Dahl, G."	2016	Survey to determine current methods for handling and preservation of fresh fish in three Malawi cities	Direct Research Journal of Agriculture and Food Science	4	2	28-34	Journal Article			Animal Sci
"Mulema, A., Farnworth, C. R. and Colverson, K. E."	2016	Gender-based constraints and opportunities to women’s participation in the small ruminant value chain in Ethiopia: A community capitals analysis	Community Development Journal			doi: 10.1080/15575330.2016.1267785	Journal Article	Added to unit list from IFAS Global; Animal Sciences in by-line; not IFAS Global for Colverson	10.1080/15575330.2016.1267785	Animal Sci
"Mullenix, M. K., Sollenberger, L. E., Wallau, M. O., Blount, A. R., Vendramini, J. M. B. and Silveira, M. L."	2016	"Herbage Accumulation, Nutritive Value, and Persistence Responses of Rhizoma Peanut Cultivars and Germplasm to Grazing Management"	Crop Science	56	2	907-915	Journal Article	yes	10.2135/cropsci2015.08.0507	Agronomy
"Mullenix, M. K., Sollenberger, L. E., Wallau, M. O., Rowland, D. L., Blount, A. R., Vendramini, J. M. B. and Silveira, M. L."	2016	"Sward Structure, Light Interception, and Rhizome-Root Responses of Rhizoma Peanut Cultivars and Germplasm to Grazing Management"	Crop Science	56	2	899-906	Journal Article		10.2135/cropsci2015.08.0508	Agronomy
"Mundim, F. M. and Bruna, E. M."	2016	Is There a Temperate Bias in Our Understanding of How Climate Change Will Alter Plant- Herbivore Interactions? A Meta- analysis of Experimental Studies	American Naturalist	188	S1	S74-S89	Journal Article		10.1086/687530	
"Mussoline, W. A., Bohac, J. R., Boman, B. J., Trupia, S. and Wilkie, A. C."	2017	"Agronomic productivity, bioethanol potential and postharvest storability of an industrial sweetpotato cultivar"	Industrial Crops and Products	95		96-103	Journal Article	yes	10.1016/j.indcrop.2016.10.013	
"Mussoline, W. A. and Wilkie, A. C."	2016	Feed and fuel: the dual?purpose advantage of an industrial sweetpotato	Journal of the Science of Food and Agriculture			doi:  10.1002/jsfa.7902	Journal Article	yes	10.1002/jsfa.7902	
"Mutunga, J., Chen, Q., Wong, D., Lam, P., Li, J., Totrov, M. M., Gross, A. D., Carlier, P. R. and Bloomquist, J. R."	2016	"Bivalent carbamates as novel control agents of the malaria mosquito, Anopheles gambiae."	Chimia	70	10	704-708	Journal Article			Ent/Nem
